Version:,2,,Date:,9/12/2015
Measure,Time,,,
1,0,,,
5,2.175,,,
57,30.639,,,
68,36.684,,,
72,38.955,,,
199,108.87,,,
210,115.037,,,
214,117.19,,,
111,60.289,,,
253,139.043,,,
580,188.194,,,
583,189.902,,,
586,191.541,,,
589,193.144,,,
593,195.276,,,
633,212.238,,,
641,221.55,,,
645,225.634,,,
649,225.698,,,
669,237.147,,,
676,239.939,,,
682,243.779,,,
723,266.718,,,
727,268.65,,,
731,270.981,,,
737,274.258,,,
749,280.988,,,
751,282.096,,,
760,287.557,,,
767,290.926,,,
789,305.46,,,
791,306.475,,,
793,307.442,,,
795,308.494,,,
801,313.014,,,
808,319.154,,,
808,326.829,,,
829,342.648,,,
831,357.59,,,
867,368.354,,,
883,393.769,,,
883,460.812,,,
927,504.941,,,
977,533.201,,,
990,539.226,,,
994,541.429,,,
1033,563.23,,,
1073,585.6,,,
1100,601.646,,,
1118,611.592,,,
1121,613.284,,,
1124,614.973,,,
1131,618.675,,,
1171,640.545,,,
1179,644.861,,,
1183,646.887,,,
1187,649.019,,,
1207,660,,,
1213,665.197,,,
1220,666.754,,,
1261,689.6,,,
1265,691.82,,,
1269,694.059,,,
1275,697.424,,,
1287,704.084,,,
1291,706.233,,,
1305,714.143,,,
1313,718.424,,,
1328,728.276,,,
1330,729.17,,,
1335,730.99,,,
1345,741.195,,,
1348,744.017,,,
20000,744.017,,,
