0,Measure 0,0,300
1,Measure 1,300,349
2,Measure 2,350,400
3,Measure 3,401,451
4,Measure 4,452,501
5,Measure 5,502,552
6,Measure 6,553,603
7,Measure 7,604,654
8,Measure 8,655,704
9,Measure 9,705,757
10,Measure 10,758,810
11,Measure 11,811,863
12,Measure 12,864,916
13,Measure 13,917,969
14,Measure 14,970,1022
15,Measure 15,1023,1075
16,Measure 16,1076,1128
17,Measure 17,1129,1180
18,Measure 18,1181,1232
19,Measure 19,1233,1283
20,Measure 20,1284,1335
21,Measure 21,1336,1386
22,Measure 22,1387,1438
23,Measure 23,1439,1490
24,Measure 24,1491,1541
25,Measure 25,1542,1593
26,Measure 26,1594,1645
27,Measure 27,1646,1702
28,Measure 28,1703,1759
29,Measure 29,1760,1816
30,Measure 30,1817,1873
31,Measure 31,1874,1931
32,Measure 32,1932,1988
33,Measure 33,1989,2045
34,Measure 34,2046,2102
35,Measure 35,2103,2159
36,Measure 36,2160,2217
37,Measure 37,2218,2266
38,Measure 38,2267,2315
39,Measure 39,2316,2364
40,Measure 40,2365,2414
41,Measure 41,2415,2463
42,Measure 42,2464,2512
43,Measure 43,2513,2562
44,Measure 44,2563,2611
45,Measure 45,2612,2660
46,Measure 46,2661,2709
47,Measure 47,2710,2762
48,Measure 48,2763,2815
49,Measure 49,2816,2867
50,Measure 50,2868,2920
51,Measure 51,2921,2972
52,Measure 52,2973,3025
53,Measure 53,3026,3078
54,Measure 54,3079,3130
55,Measure 55,3131,3183
56,Measure 56,3184,3235
57,Measure 57,3236,3287
58,Measure 58,3288,3340
59,Measure 59,3341,3392
60,Measure 60,3393,3445
61,Measure 61,3446,3497
62,Measure 62,3498,3550
63,Measure 63,3551,3600
64,Measure 64,3601,3650
65,Measure 65,3651,3701
66,Measure 66,3702,3751
67,Measure 67,3752,3801
68,Measure 68,3802,3852
69,Measure 69,3853,3902
70,Measure 70,3903,3953
71,Measure 71,3954,4002
72,Measure 72,4003,4051
73,Measure 73,4052,4100
74,Measure 74,4101,4149
75,Measure 75,4150,4198
76,Measure 76,4199,4247
77,Measure 77,4248,4296
78,Measure 78,4297,4346
79,Measure 79,4347,4399
80,Measure 80,4400,4453
81,Measure 81,4454,4507
82,Measure 82,4508,4561
83,Measure 83,4562,4615
84,Measure 84,4616,4669
85,Measure 85,4670,4723
86,Measure 86,4724,4777
87,Measure 87,4778,4828
88,Measure 88,4829,4879
89,Measure 89,4880,4930
90,Measure 90,4931,4981
91,Measure 91,4982,5032
92,Measure 92,5033,5083
93,Measure 93,5084,5134
94,Measure 94,5135,5186
95,Measure 95,5187,5237
96,Measure 96,5238,5289
97,Measure 97,5290,5341
98,Measure 98,5342,5393
99,Measure 99,5394,5445
100,Measure 100,5446,5497
101,Measure 101,5498,5549
102,Measure 102,5550,5600
103,Measure 103,5601,5652
104,Measure 104,5653,5703
105,Measure 105,5704,5755
106,Measure 106,5756,5806
107,Measure 107,5807,5858
108,Measure 108,5859,5909
109,Measure 109,5910,5961
110,Measure 110,5962,6012
111,Measure 111,6013,6081
112,Measure 112,6082,6151
113,Measure 113,6152,6220
114,Measure 114,6221,6290
115,Measure 115,6291,6359
116,Measure 116,6360,6428
117,Measure 117,6429,6484
118,Measure 118,6485,6539
119,Measure 119,6540,6594
120,Measure 120,6595,6649
121,Measure 121,6650,6704
122,Measure 122,6705,6760
123,Measure 123,6761,6815
124,Measure 124,6816,6870
125,Measure 125,6871,6919
126,Measure 126,6920,6969
127,Measure 127,6970,7018
128,Measure 128,7019,7068
129,Measure 129,7069,7117
130,Measure 130,7118,7167
131,Measure 131,7168,7216
132,Measure 132,7217,7266
133,Measure 133,7267,7315
134,Measure 134,7316,7365
135,Measure 135,7366,7414
136,Measure 136,7415,7464
137,Measure 137,7465,7513
138,Measure 138,7514,7563
139,Measure 139,7564,7612
140,Measure 140,7613,7662
141,Measure 141,7663,7711
142,Measure 142,7712,7761
143,Measure 143,7762,7810
144,Measure 144,7811,7860
145,Measure 145,7861,7909
146,Measure 146,7910,7959
147,Measure 147,7960,8008
148,Measure 148,8009,8058
149,Measure 149,8059,8107
150,Measure 150,8108,8156
151,Measure 151,8157,8206
152,Measure 152,8207,8255
153,Measure 153,8256,8305
154,Measure 154,8306,8354
155,Measure 155,8355,8404
156,Measure 156,8405,8453
157,Measure 157,8454,8502
158,Measure 158,8503,8551
159,Measure 159,8552,8601
160,Measure 160,8602,8650
161,Measure 161,8651,8699
162,Measure 162,8700,8749
163,Measure 163,8750,8798
164,Measure 164,8799,8827
165,Measure 165,8828,8856
166,Measure 166,8857,8885
167,Measure 167,8886,8914
168,Measure 168,8915,8942
169,Measure 169,8943,8971
170,Measure 170,8972,9000
171,Measure 171,9001,9029
172,Measure 172,9030,9058
173,Measure 173,9059,9129
174,Measure 174,9130,9199
175,Measure 175,9200,9270
176,Measure 176,9271,9340
177,Measure 177,9341,9411
178,Measure 178,9412,9481
179,Measure 179,9482,9552
180,Measure 180,9553,9622
181,Measure 181,9623,9693
182,Measure 182,9694,9745
183,Measure 183,9746,9797
184,Measure 184,9798,9849
185,Measure 185,9850,9901
186,Measure 186,9902,9953
187,Measure 187,9954,10005
188,Measure 188,10006,10058
189,Measure 189,10059,10109
190,Measure 190,10110,10160
191,Measure 191,10161,10211
