ID,Shot,Start,End,Cam Start X,Cam Start Y,Cam Start Z,Target Start X,Target Start Y,Target Start Z,Cam End X,Cam End Y,Cam End Z,Target End X,Target End Y,Target End Z
54,Strings,22916,23761,-3.13556,28.0171,11.751,5.07373,16.5797,10.3913,-3.13556,28.0171,11.751,5.07373,16.5797,10.3913
55,Horns,23762,24187,4.3437,17.5706,13.0655,6.42503,12.5438,11.7058,4.3437,17.5706,13.0655,6.42503,12.5438,11.7058
56,Flutes,24188,24288,-2.25565,22.7872,13.0655,-1.997,16.5348,11.7058,-2.25565,22.7872,13.0655,-1.997,16.5348,11.7058
57,Oboe,24289,24390,2.14392,19.4876,13.0655,2.37114,14.3979,11.7058,2.14392,19.4876,13.0655,2.37114,14.3979,11.7058
58,Bassoon,24391,24491,-2.72703,19.5504,13.0655,-2.05985,14.335,11.7058,-2.72703,19.5504,13.0655,-2.05985,14.335,11.7058
59,Winds,24543,25406,8.59284,17.7325,11.751,-4.89839,16.4018,11.3084,8.59284,17.7325,11.751,-4.89839,16.4018,11.3084
60,Strings,25407,25631,8.90394,24.6206,14.5329,-2.4985,15.8011,11.8892,8.90394,24.6206,14.5329,-2.4985,15.8011,11.8892
61,Whole,25632,26008,0.06937,36.7443,17.093,0.84885,5.38347,13.5059,0.06937,36.7443,17.093,0.84885,5.38347,13.5059
62,Flutes,26009,26147,-2.25565,22.7872,13.0655,-1.997,16.5348,11.7058,-2.25565,22.7872,13.0655,-1.997,16.5348,11.7058
63,Horns,26148,26683,10.126,16.5301,12.1178,4.16239,10.0297,11.7058,10.126,16.5301,12.1178,4.16239,10.0297,11.7058
64,Whole,26684,27083,7.9262,27.9543,11.751,-3.25402,14.9796,11.3084,7.9262,27.9543,11.751,-3.25402,14.9796,11.3084
65,Timpani,27084,27610,0.41551,15.5951,15.5723,0.35991,12.6355,12.0115,0.41551,15.5951,15.5723,0.35991,12.6355,12.0115
66,Whole,27611,29000,0.06937,36.7443,17.093,0.84885,5.38347,13.5059,0.06937,36.7443,17.093,0.84885,5.38347,13.5059
67,Timpani,2708,2718,0.41551,15.5951,15.5723,0.35991,12.6355,12.0115,0.41551,15.5951,15.5723,0.35991,12.6355,12.0115
68,Whole,2900,2910,0.06937,36.7443,17.093,0.84885,5.38347,13.5059,0.06937,36.7443,17.093,0.84885,5.38347,13.5059
